development_rank,lookback,holding,cagr,volatility,sharpe,max_drawdown,ending_wealth,turnover,position_changes
1,63,Q,0.08070012932114512,0.09635254133901641,0.6970928245523386,-0.20257789008306082,37393.196393402395,28.0,28
2,126,M,0.07881264418815737,0.09947122186332988,0.661486816693224,-0.26854310778080137,36298.69559886249,25.0,25
3,126,W,0.07526107024163697,0.09553463570993442,0.6512625211631207,-0.24277586712615062,34320.49541793077,57.0,57
4,63,M,0.07173857282322849,0.09439189436718297,0.6244208455647422,-0.18495758257749118,32459.049276870035,50.0,50
5,189,M,0.07643603339815641,0.1028002901794221,0.622552283690616,-0.2395360790916634,34963.42526025888,17.0,17
6,189,W,0.07041954705572828,0.09848811068874783,0.5904716965289349,-0.34612410651878567,31786.798271180214,45.0,45
7,63,W,0.06560546247376808,0.09319401128746192,0.5717489719424361,-0.23718185294723337,29442.79797744397,86.0,86
8,126,Q,0.06707027397642507,0.10243970901373473,0.5420375028376716,-0.38843189377431475,30138.215426843228,17.0,17
9,189,Q,0.06776882820672281,0.10573516884895896,0.5343169915559178,-0.33469089348020553,30475.26999186792,11.0,11
10,252,Q,0.06544861671376889,0.10194723121215385,0.5297035450458989,-0.2651156088533657,29369.237466805604,9.0,9
11,252,M,0.06325208237992053,0.10220228070921535,0.5091303504452612,-0.2531970812454043,28357.067989166924,17.0,17
12,504,W,0.06353802210294557,0.1053233308762747,0.4995729529560384,-0.26270042855006526,28486.945597110105,19.0,19
13,315,M,0.06144897093845891,0.10690399926053315,0.4759780783599426,-0.24536105782028084,27550.820710040727,19.0,19
14,504,M,0.06156832427308645,0.11009269266590245,0.46632506279083263,-0.3634826360076081,27603.51468829257,9.0,9
15,252,W,0.057007694850846,0.10023986814267147,0.46035145496361546,-0.3005123935974522,25655.980003691384,37.0,37
16,504,Q,0.05900479935029446,0.11126817188960139,0.44159216556598235,-0.363482636007607,26492.3262223458,5.0,5
17,315,Q,0.055912713032229,0.10895903605423708,0.42269702722283375,-0.2596403421658804,25208.036061771247,13.0,13
18,315,W,0.05102910861432042,0.1040169433289926,0.3946770549682984,-0.23752235238367436,23298.343416283995,35.0,35
